cl     , CLOUD
cli    , CLDICE
clivi  , TGCLDIWP
clt    , CLDTOT
clw    , CLDLIQ
clwvi  , TGCLDLWP+TGCLDIWP
evspsbl, QFLX
hfls   , LHFLX
hfss   , SHFLX
hur    , RELHUM
hurs   , RHREFHT
hus    , Q
huss   , QREFHT
mc     , CMFMC
o3     , O3VMR
pfull  , <pfull>
phalf  , <phalf>
pr     , PRECT
prc    , PRECC
prsn   , PRECSC+PRECSL
prw    , TMQ
ps     , PS
psl    , PSL
rlds   , FLDS
rldscs , FLDSC
rlus   , FLUS
rlut   , FLUTOA
rlutcs , FLUTOAC
rsds   , FSDS
rsdscs , FSDSC
rsdt   , FSDTOA
rsus   , FSUS
rsuscs , FSUSC
rsut   , FSUTOA
rsutcs , FSUTOAC
rtmt   , FSNT-FLNT
sfcWind, WIND10M
ta     , T
tas    , TREFHT
tasmax , TREFMXAV
tasmin , TREFMNAV
tauu   , TAUX
tauv   , TAUY
ts     , TS
ua     , U
va     , V
wap    , OMEGA
zg     , Z3